Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
176,1,14,6,0,0,16.66,2,bowled,1,v Pakistan,Dhaka,16-01-1998,ODI # 1277
177,41,-,26,7,1,157.69,2,caught,2,v Pakistan,Dhaka,18-01-1998,ODI # 1279
178,8,21,11,1,0,72.72,2,caught,1,v Australia,Kochi,01-04-1998,ODI # 1300
179,5,44,17,0,0,29.41,2,run out,1,v Zimbabwe,Vadodara,05-04-1998,ODI # 1305
180,100,132,89,5,7,112.35,2,caught,2,v Australia,Kanpur,07-04-1998,ODI # 1308
181,1,18,2,0,0,50.00,2,caught,1,v Zimbabwe,Cuttack,09-04-1998,ODI # 1311
182,15,45,24,2,0,62.50,2,caught,1,v Australia,Delhi,14-04-1998,ODI # 1316
183,40,62,41,5,1,97.56,1,caught,1,v New Zealand,Sharjah,17-04-1998,ODI # 1319
184,80,136,72,9,0,111.11,2,caught,2,v Australia,Sharjah,19-04-1998,ODI # 1322
185,38,93,58,2,0,65.51,1,run out,1,v New Zealand,Sharjah,20-04-1998,ODI # 1323
186,143,187,131,9,5,109.16,2,caught,2,v Australia,Sharjah,22-04-1998,ODI # 1325
187,134,195,131,12,3,102.29,2,lbw,2,v Australia,Sharjah,24-04-1998,ODI # 1327
188,33,48,29,6,0,113.79,2,caught,2,v Bangladesh,Wankhede,25-05-1998,ODI # 1335
189,18,33,25,2,0,72.00,2,caught,2,v Kenya,Gwalior,28-05-1998,ODI # 1336
190,100*,156,103,13,0,97.08,2,not out,2,v Kenya,Eden Gardens,31-05-1998,ODI # 1337
191,65,79,50,9,0,130.00,2,caught,2,v Sri Lanka,Colombo (RPS),19-06-1998,ODI # 1338
192,53,43,36,3,3,147.22,2,caught,2,v New Zealand,Colombo (RPS),23-06-1998,ODI # 1340
193,17,28,16,4,0,106.25,2,caught,2,v Sri Lanka,Colombo (SSC),01-07-1998,ODI # 1341
194,TDNB,-,-,-,-,-,-,-,-,v New Zealand,Colombo (SSC),03-07-1998,ODI # 1342
195,128,182,131,8,2,97.70,2,stumped,1,v Sri Lanka,Colombo (RPS),07-07-1998,ODI # 1344
196,77,157,109,9,0,70.64,2,caught,1,v Pakistan,Toronto,20-09-1998,ODI # 1353
197,127*,155,130,13,1,97.69,2,not out,2,v Zimbabwe,Bulawayo,26-09-1998,ODI # 1354
198,29,33,21,4,1,138.09,1,caught,2,v Zimbabwe,Bulawayo,27-09-1998,ODI # 1355
199,2,7,6,0,0,33.33,2,caught,2,v Zimbabwe,Harare,30-09-1998,ODI # 1356
200,141,191,128,13,3,110.15,2,run out,1,v Australia,Dhaka,28-10-1998,ODI # 1360
201,8,20,14,1,0,57.14,2,caught,1,v West Indies,Dhaka,31-10-1998,ODI # 1363
202,3,15,6,0,0,50.00,2,caught,2,v Sri Lanka,Sharjah,06-11-1998,ODI # 1366
203,118*,173,112,14,2,105.35,2,not out,2,v Zimbabwe,Sharjah,08-11-1998,ODI # 1369
